fips,T001_001,T002_002,T002_003,T004_002,T004_003,T007A004,T007A005,T007A006,T007A009,T012_001,T012_002,T013_002,T013_003,T013_005,T014_010,T017_001,T017_002,T017_006,T017_009,T151_001,T151_002,T151_003,T152_001,T152_002,T152_003,T030_001,T030_002,T033_001,T033_002,T033_006,T033_007,T034_001,T034_002,T034_006,T034_007,T056A001,T056A004,T056A008,T056A012,T057_001,T095_001,T095_003,T117_001,T117_005,T117_007,T134_001,T134_002,T134_003,T134_004,T134_005,T145_001,T145_002,year
02050,17184,.4235642,40570.0052231902,8943,8241,5251,6249,8273,14704,26.1,26.4,2007,49,181,201,4307,3194,616,412,4717,937,3780,4194,846,3348,1319,184,11606,7355,1312,4251,6098,3939,863,2159,4307,755,1670,2800,52349,5907,1600,16866,2554,8813,155,5,51,15,84,16932,4415,2012
02060,929,1.843829,503.842952168118,496,433,204,252,308,705,42.700001,44.299999,507,2,3,49,375,258,35,35,330,36,294,291,26,265,48,0,706,509,35,197,373,278,22,95,375,30,73,168,79931,934,559,925,6,790,10,0,0,0,10,925,208,2012
02068,1917,.1503363,12751.4107771928,989,928,339,401,535,1549,41.400002,44.400002,1677,20,60,43,717,405,17,118,742,54,688,640,102,538,80,14,1562,1179,30,383,858,655,17,203,717,50,131,365,74044,1581,864,1760,95,1330,160,49,62,40,9,1751,382,2012
02070,4887,.26318371,18568.7785673138,2546,2341,1316,1623,2204,3983,28.6,29.299999,888,19,38,102,1334,901,231,174,1398,254,1144,1285,213,1072,369,18,3452,2133,309,1319,1794,1069,238,725,1334,204,447,836,56857,2427,1093,4864,656,2691,79,0,17,29,33,4873,1662,2012
02090,97523,13.28975,7338.20935695455,51550,45973,21002,24878,38447,80317,30.700001,30.299999,75945,4482,2460,5898,35740,23968,3625,5248,30905,2335,28570,28171,1646,26525,5544,233,75064,55029,3314,20035,39941,31417,1969,8524,35740,3884,9962,19449,69485,41371,5631,93932,6770,72455,5126,139,1741,1296,1950,91433,12748,2012
02100,2500,1.0782371,2318.60017266489,1397,1103,531,583,667,1748,42.900002,40.700001,2053,8,26,32,1139,718,86,101,978,48,930,855,13,842,62,14,1945,1407,127,538,1076,843,116,233,1139,191,342,797,50208,1590,451,2468,209,1846,103,0,60,29,14,2498,627,2012
02105,2153,.28611621,7524.91507451,1119,1034,305,395,522,1361,48.299999,51.599998,1041,5,25,61,999,607,77,138,874,107,767,757,75,682,119,3,1815,1187,151,628,966,641,97,325,999,213,435,683,48942,1797,798,2135,221,1313,54,2,9,20,23,2153,567,2012
02110,31636,11.70866,2701.93101126337,16133,15503,6045,7437,10278,24454,37.799999,37.700001,22095,215,1743,1663,12323,7955,1525,2007,10807,399,10408,10551,504,10047,1973,43,25207,18370,932,6837,12795,9812,567,2983,12323,908,2344,5793,78947,13052,729,31083,1368,25631,1863,33,512,610,708,31032,5053,2012
02122,55474,3.4508779,16075.3309683288,29000,26474,10704,13097,17688,40352,40.900002,41,47050,322,783,1698,21964,14326,1941,3103,19772,1514,18258,18014,1197,16817,3158,212,44129,27984,2474,16145,23286,15585,1531,7701,21964,3205,7452,13532,59421,30302,8338,54055,4995,39374,1677,48,500,425,704,54248,12955,2012
02130,13525,2.7838309,4858.4134412978,7031,6494,2666,3226,4437,10244,38.400002,38.200001,9154,58,811,559,5367,3308,654,811,4629,369,4260,4459,200,4259,699,45,10598,7577,603,3021,5478,4221,428,1257,5367,607,1702,3130,59736,6190,823,13078,964,9866,969,20,307,262,380,12985,2492,2012
02150,13710,2.0932641,6549.57941735637,7395,6315,3303,3947,5519,11266,31.5,30.299999,7799,105,2733,1044,4468,3266,481,455,4307,324,3983,3884,361,3523,890,68,10222,7869,411,2353,5427,4448,218,979,4468,395,1144,2346,70976,5326,858,13260,646,9626,1969,71,703,504,691,12737,3412,2012
02164,1551,.065575823,23652.0092849851,751,800,387,515,706,1268,28.700001,31.4,431,7,28,19,570,403,103,68,431,67,364,414,61,353,147,6,1120,757,67,363,535,345,33,190,570,137,253,382,49808,1653,1083,1547,158,922,28,0,6,7,15,1551,655,2012
02170,89319,3.629688,24607.8983408417,46172,43147,21076,25609,33242,71337,34.799999,34.700001,76133,907,1148,3396,30923,22477,2820,3564,28878,2485,26393,27199,1832,25367,5382,333,66621,43644,4539,22977,34392,24734,2754,9658,30923,3762,8211,16401,70728,40578,9655,87828,5735,66002,3165,59,1082,736,1288,87828,17926,2012
02180,9580,.41721541,22961.7605023653,5144,4436,2751,3272,4395,8043,28,28.6,1597,126,83,123,2772,1966,486,275,2837,472,2365,2348,377,1971,687,84,6666,4363,768,2303,3624,2338,488,1286,2772,461,1071,1885,51472,3979,1207,9318,1330,4402,180,0,85,38,57,9361,2725,2012
02185,9317,.1050449,88695.4100235213,5845,3472,1909,2283,3406,7640,34.200001,35.900002,3010,46,413,264,1991,1368,455,188,3942,433,3509,1969,431,1538,527,77,7306,5597,688,1709,4764,3767,494,997,1991,248,479,972,76679,2527,536,9171,584,6919,514,83,156,121,154,9299,2600,2012
